user,trick_or_treat,archie_girls,the_dress,imitation,friday_or_saturday
ID-1081,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1082,FALSE,Betty,NA,Lazily flattering someone,Friday
ID-1083,FALSE,Betty,NA,Lazily flattering someone,Sunday
ID-1084,FALSE,Veronica,White and gold,Laziness,Friday
ID-1085,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1086,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1087,FALSE,Veronica,White and gold,Laziness,Sunday
ID-1088,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1089,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1090,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1091,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1092,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1093,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1094,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1095,TRUE,Veronica,White and gold,Laziness,Friday
ID-1096,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1097,FALSE,Betty,White and gold,Laziness,Friday
ID-1098,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1099,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1100,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1101,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1102,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1103,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1104,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1105,FALSE,Betty,Blue and black,Flattery,Friday
ID-1106,TRUE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1107,FALSE,???,NA,Flattery,Friday
ID-1108,FALSE,Betty,Blue and black,Flattery,Friday
ID-1109,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1110,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1111,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1112,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1113,FALSE,???,White and gold,Flattery,Friday
ID-1114,FALSE,Betty,Blue and black,Flattery,Friday
ID-1115,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1116,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1117,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1118,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1119,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1120,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1121,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1122,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1123,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-1124,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1125,FALSE,Veronica,NA,Lazily flattering someone,Sunday
ID-1126,FALSE,NA,NA,NA,NA
ID-1127,FALSE,Betty,White and gold,Flattery,Friday
ID-1128,FALSE,Betty,NA,Flattery,Sunday
ID-1129,FALSE,Veronica,NA,Lazily flattering someone,Sunday
ID-1130,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1131,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1132,TRUE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1133,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1134,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1135,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1136,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1137,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1138,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1139,TRUE,Veronica,White and gold,Laziness,Friday
ID-1140,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1141,TRUE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1142,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1143,FALSE,???,Blue and black,Laziness,Sunday
ID-1144,FALSE,Betty,NA,Lazily flattering someone,Friday
ID-1145,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1146,TRUE,Veronica,White and gold,Flattery,Friday
ID-1147,FALSE,Veronica,NA,Lazily flattering someone,Friday
ID-1148,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1149,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1150,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1151,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1152,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1153,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1154,FALSE,Veronica,White and gold,Laziness,Friday
ID-1155,FALSE,Veronica,White and gold,Laziness,Friday
ID-1156,TRUE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1157,FALSE,Betty,Blue and black,Laziness,Friday
ID-1158,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-1159,TRUE,Betty,NA,NA,Sunday
ID-1160,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1161,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1162,FALSE,Veronica,Blue and black,NA,Friday
ID-1163,FALSE,Betty,White and gold,Flattery,Friday
ID-1164,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1165,FALSE,Veronica,NA,Lazily flattering someone,Friday
ID-1166,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1167,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1168,FALSE,Veronica,White and gold,Laziness,Sunday
ID-1169,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1170,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1171,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1172,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1173,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1174,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1175,FALSE,???,Blue and black,Flattery,Sunday
ID-1176,TRUE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1177,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1178,FALSE,Betty,White and gold,Flattery,Friday
ID-1179,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1180,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1181,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1182,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1183,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1184,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1185,FALSE,Betty,NA,Laziness,Sunday
ID-1186,FALSE,Betty,White and gold,Flattery,Friday
ID-1187,FALSE,???,Blue and black,Flattery,Friday
ID-1188,TRUE,???,White and gold,Lazily flattering someone,Friday
ID-1189,TRUE,???,White and gold,Laziness,Friday
ID-1190,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1191,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1192,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1193,FALSE,Veronica,White and gold,Laziness,Sunday
ID-1194,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1195,FALSE,Betty,Blue and black,Laziness,Sunday
ID-1196,FALSE,Veronica,White and gold,Flattery,Friday
ID-1197,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1198,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1199,TRUE,Betty,Blue and black,Flattery,Friday
ID-1200,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1201,FALSE,NA,NA,NA,NA
ID-1202,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1203,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1204,FALSE,Betty,White and gold,Laziness,Sunday
ID-1205,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1206,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1207,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1208,FALSE,Betty,White and gold,Flattery,Sunday
ID-1209,FALSE,Veronica,NA,Flattery,Sunday
ID-1210,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1211,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1212,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1213,FALSE,Betty,Blue and black,Flattery,Friday
ID-1214,FALSE,Veronica,White and gold,Flattery,Friday
ID-1215,FALSE,Betty,Blue and black,Flattery,Friday
ID-1216,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1217,FALSE,Betty,White and gold,Flattery,Friday
ID-1218,FALSE,Betty,White and gold,Laziness,NA
ID-1219,FALSE,Betty,Blue and black,Flattery,Friday
ID-1220,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-1221,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1222,FALSE,NA,NA,NA,NA
ID-1223,TRUE,NA,NA,NA,NA
ID-1224,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1225,FALSE,NA,NA,NA,NA
ID-1226,TRUE,Betty,White and gold,Lazily flattering someone,Friday
ID-1227,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1228,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-1229,FALSE,???,Blue and black,Laziness,Friday
ID-1230,FALSE,???,White and gold,Flattery,Friday
ID-1231,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1232,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1233,FALSE,Betty,Blue and black,Laziness,Friday
ID-1234,FALSE,Betty,White and gold,Laziness,Friday
ID-1235,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1236,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1237,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1238,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1239,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1240,TRUE,Betty,White and gold,Laziness,Friday
ID-1241,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1242,FALSE,NA,NA,NA,NA
ID-1243,FALSE,Betty,White and gold,Laziness,Friday
ID-1244,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1245,TRUE,Betty,Blue and black,Laziness,Sunday
ID-1246,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1247,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1248,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1249,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1250,FALSE,???,NA,Flattery,Sunday
ID-1251,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1252,FALSE,Betty,White and gold,NA,Friday
ID-1253,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1254,FALSE,Betty,Blue and black,Laziness,Friday
ID-1255,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1256,TRUE,Betty,White and gold,Laziness,Sunday
ID-1257,FALSE,NA,NA,NA,NA
ID-1258,TRUE,Veronica,Blue and black,Flattery,Friday
ID-1259,FALSE,???,Blue and black,Laziness,Sunday
ID-1260,FALSE,Betty,White and gold,Flattery,Friday
ID-1261,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1262,TRUE,Betty,Blue and black,NA,Friday
ID-1263,FALSE,Betty,White and gold,Flattery,Friday
ID-1264,TRUE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1265,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1266,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1267,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1268,FALSE,Betty,White and gold,Flattery,Friday
ID-1269,FALSE,Betty,White and gold,Laziness,Friday
ID-1270,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1271,FALSE,NA,NA,NA,NA
ID-1272,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1273,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1274,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1275,FALSE,???,Blue and black,Laziness,Friday
ID-1276,FALSE,Veronica,Blue and black,Laziness,Friday
ID-1277,FALSE,NA,NA,NA,NA
ID-1278,FALSE,Betty,Blue and black,Laziness,Friday
ID-1279,FALSE,Veronica,NA,Laziness,Friday
ID-1280,TRUE,Veronica,Blue and black,Flattery,Friday
ID-1281,FALSE,Veronica,White and gold,Laziness,Friday
ID-1282,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1283,FALSE,Betty,NA,NA,Sunday
ID-1284,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1285,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1286,FALSE,Betty,Blue and black,Laziness,Friday
ID-1287,FALSE,Veronica,White and gold,Laziness,Friday
ID-0930,FALSE,Betty,White and gold,Flattery,Friday
ID-0931,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1288,FALSE,Betty,Blue and black,Laziness,Friday
ID-1289,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1290,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1291,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-1292,FALSE,Betty,Blue and black,Flattery,Friday
ID-1293,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1294,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1295,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1296,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1297,TRUE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1298,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1299,FALSE,???,White and gold,Laziness,Friday
ID-1300,FALSE,???,Blue and black,Flattery,Friday
ID-1301,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1302,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1303,FALSE,Betty,Blue and black,Laziness,Sunday
ID-1304,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1305,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1306,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1307,FALSE,Betty,White and gold,Laziness,Friday
ID-1308,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1309,FALSE,NA,NA,NA,NA
ID-1310,TRUE,Betty,White and gold,Flattery,Sunday
ID-1311,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1312,FALSE,Betty,NA,Laziness,Sunday
ID-1313,TRUE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1314,FALSE,Veronica,White and gold,Laziness,Sunday
ID-1315,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1316,TRUE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1317,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1318,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1319,TRUE,???,Blue and black,NA,Friday
ID-1320,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1321,FALSE,Veronica,White and gold,Laziness,Sunday
ID-1322,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1323,FALSE,Veronica,Blue and black,Laziness,Friday
ID-1324,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1325,FALSE,Betty,Blue and black,Laziness,Sunday
ID-1326,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1327,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1328,FALSE,NA,NA,NA,NA
ID-1329,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1330,FALSE,Betty,Blue and black,Laziness,Sunday
ID-1331,FALSE,Betty,Blue and black,NA,Sunday
ID-1332,FALSE,NA,NA,NA,NA
ID-1333,TRUE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1334,TRUE,Betty,White and gold,Lazily flattering someone,Friday
ID-1335,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1336,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1337,FALSE,Betty,White and gold,Flattery,Friday
ID-1338,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1339,FALSE,Betty,Blue and black,Laziness,Friday
ID-1340,FALSE,Betty,Blue and black,Flattery,Friday
ID-1341,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1342,FALSE,Betty,Blue and black,Flattery,Friday
ID-1343,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1344,FALSE,Betty,White and gold,Laziness,Friday
ID-1345,FALSE,Betty,White and gold,Flattery,Friday
ID-1346,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1347,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1348,FALSE,Betty,Blue and black,Flattery,Friday
ID-1349,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-0932,FALSE,Betty,White and gold,Laziness,Sunday
ID-0933,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0934,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-0935,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-0936,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-0937,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-0938,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-0939,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-0940,FALSE,Betty,Blue and black,Laziness,Friday
ID-0941,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-0942,FALSE,Betty,Blue and black,Laziness,Friday
ID-0943,FALSE,Betty,White and gold,Flattery,Friday
ID-0944,FALSE,Veronica,White and gold,Flattery,Sunday
ID-0945,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0946,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0947,FALSE,???,White and gold,Laziness,Sunday
ID-0948,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-0949,FALSE,???,Blue and black,Laziness,Friday
ID-0950,FALSE,NA,NA,NA,NA
ID-0951,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-0952,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-0953,FALSE,???,NA,Flattery,Friday
ID-0954,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-0955,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0956,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-0957,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-0958,FALSE,Betty,Blue and black,Laziness,Sunday
ID-0959,FALSE,Veronica,Blue and black,Flattery,Friday
ID-0960,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-0961,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0962,FALSE,Betty,White and gold,Flattery,Friday
ID-0963,FALSE,Veronica,Blue and black,Flattery,Friday
ID-0964,FALSE,NA,NA,NA,NA
ID-0965,TRUE,Betty,Blue and black,Laziness,Friday
ID-0966,FALSE,Veronica,White and gold,Flattery,Sunday
ID-0967,TRUE,NA,NA,NA,NA
ID-0969,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-0968,FALSE,???,White and gold,Lazily flattering someone,Sunday
ID-0970,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-0973,FALSE,NA,NA,NA,NA
ID-0972,FALSE,NA,NA,NA,NA
ID-0971,FALSE,NA,NA,NA,NA
ID-0975,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-0976,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-0977,FALSE,Veronica,Blue and black,Flattery,Friday
ID-0974,FALSE,Veronica,White and gold,Flattery,Friday
ID-0978,TRUE,NA,NA,NA,NA
ID-0979,FALSE,Betty,Blue and black,Flattery,Friday
ID-0980,FALSE,NA,NA,NA,NA
ID-0981,FALSE,NA,Blue and black,Flattery,Sunday
ID-0982,TRUE,???,White and gold,Lazily flattering someone,Friday
ID-0983,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-0984,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-0986,FALSE,Betty,White and gold,Flattery,Sunday
ID-0987,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-0988,FALSE,Betty,Blue and black,Laziness,Friday
ID-0985,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-0989,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-0990,FALSE,Betty,White and gold,Flattery,Friday
ID-0991,FALSE,???,Blue and black,Laziness,Friday
ID-0992,FALSE,Betty,White and gold,NA,NA
ID-0993,FALSE,NA,Blue and black,NA,Friday
ID-0994,FALSE,NA,NA,NA,NA
ID-0995,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-0996,FALSE,Betty,Blue and black,Laziness,Friday
ID-0997,FALSE,Betty,Blue and black,Flattery,Sunday
ID-0998,FALSE,NA,NA,NA,NA
ID-0999,FALSE,Betty,White and gold,Flattery,Friday
ID-1000,FALSE,Betty,NA,Lazily flattering someone,Sunday
ID-1001,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1002,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1003,FALSE,Betty,White and gold,NA,Friday
ID-1004,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1005,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1007,FALSE,???,White and gold,Lazily flattering someone,Sunday
ID-1008,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1009,FALSE,NA,NA,NA,NA
ID-1006,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1010,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1011,FALSE,???,Blue and black,Lazily flattering someone,Friday
ID-1012,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1013,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1014,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1015,TRUE,???,White and gold,Lazily flattering someone,Sunday
ID-1016,FALSE,Betty,White and gold,Laziness,Sunday
ID-1017,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1018,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1019,FALSE,Betty,White and gold,Flattery,Sunday
ID-1020,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-1021,FALSE,Veronica,White and gold,Lazily flattering someone,Sunday
ID-1022,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1023,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1024,FALSE,Veronica,White and gold,Laziness,Friday
ID-1025,FALSE,???,Blue and black,NA,Friday
ID-1026,FALSE,???,White and gold,Lazily flattering someone,Friday
ID-1027,TRUE,Betty,White and gold,Laziness,Sunday
ID-1028,TRUE,Betty,White and gold,Flattery,Friday
ID-1029,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1030,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-1031,FALSE,NA,NA,NA,NA
ID-1032,FALSE,???,Blue and black,Flattery,Sunday
ID-1033,FALSE,Betty,Blue and black,Flattery,Friday
ID-1034,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1035,FALSE,Betty,Blue and black,Flattery,Friday
ID-1036,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1037,TRUE,Betty,White and gold,Laziness,Friday
ID-1038,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1039,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1040,FALSE,Veronica,White and gold,Flattery,Sunday
ID-1041,FALSE,Betty,NA,Lazily flattering someone,Friday
ID-1042,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-1043,TRUE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1044,FALSE,NA,NA,NA,NA
ID-1045,FALSE,Betty,Blue and black,Flattery,Friday
ID-1046,FALSE,Veronica,Blue and black,Flattery,Sunday
ID-1047,FALSE,???,Blue and black,Flattery,Friday
ID-1048,FALSE,Betty,Blue and black,Flattery,Friday
ID-1049,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1050,FALSE,Betty,Blue and black,Lazily flattering someone,Sunday
ID-1051,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1052,FALSE,NA,NA,NA,NA
ID-1053,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1054,FALSE,Betty,White and gold,Flattery,Friday
ID-1055,TRUE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1350,FALSE,Veronica,White and gold,Flattery,Friday
ID-1351,TRUE,Betty,Blue and black,Flattery,Sunday
ID-1352,TRUE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1353,FALSE,Veronica,Blue and black,Laziness,Sunday
ID-1354,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1355,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1356,TRUE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1357,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1358,FALSE,Betty,NA,NA,Sunday
ID-1359,FALSE,Betty,Blue and black,Lazily flattering someone,Friday
ID-1436,FALSE,???,White and gold,Flattery,Friday
ID-1437,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1438,FALSE,Betty,White and gold,Lazily flattering someone,Sunday
ID-1439,TRUE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1440,FALSE,???,White and gold,NA,Friday
ID-1441,FALSE,NA,NA,NA,NA
ID-1442,FALSE,Veronica,NA,Laziness,Sunday
ID-1443,FALSE,Betty,White and gold,Laziness,NA
ID-1444,FALSE,Betty,White and gold,Flattery,Friday
ID-1445,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1446,FALSE,Betty,White and gold,Lazily flattering someone,Friday
ID-1447,FALSE,???,Blue and black,Flattery,Friday
ID-1448,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1449,FALSE,???,Blue and black,Lazily flattering someone,Sunday
ID-1450,FALSE,Betty,White and gold,Laziness,Sunday
ID-1451,FALSE,Betty,NA,Laziness,Sunday
ID-1452,FALSE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1453,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1454,FALSE,Veronica,White and gold,Lazily flattering someone,Friday
ID-1455,FALSE,Veronica,NA,Lazily flattering someone,Friday
ID-1456,FALSE,Betty,NA,Flattery,Sunday
ID-1458,FALSE,NA,NA,NA,NA
ID-1457,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1459,FALSE,Veronica,Blue and black,Flattery,Friday
ID-1460,FALSE,Betty,White and gold,Flattery,Friday
ID-1461,FALSE,Betty,White and gold,Laziness,Friday
ID-1462,FALSE,Betty,Blue and black,Laziness,Sunday
ID-1463,FALSE,Veronica,Blue and black,Lazily flattering someone,Friday
ID-1464,FALSE,Betty,Blue and black,Flattery,Sunday
ID-1465,TRUE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1466,FALSE,Betty,White and gold,Laziness,Friday
ID-1467,TRUE,Veronica,Blue and black,Lazily flattering someone,Sunday
ID-1468,FALSE,Betty,Blue and black,Flattery,Friday
